순번,질문,답변
23,"힘든 줄 모르다가 괜찮아지면 “아 그동안 내가 힘들었구나""를 느낍니다. 힘들 때 힘든 걸 어떻게 인식할 수 있고, 조치를 취해야 하는 정도로 우울하다는 걸 어떻게 알아차릴 수 있나요?","내가 힘든 것을 어떻게 알 수 있을까? 에 대한 답은 “ 나만의 스트레스 위험 신호를 찾는 것 ” 입니다._x000D_
당시에는 잘 느끼지 못했지만 힘든 상태에서 벗어났을 때 돌이켜보면 평소와 다른 나의 모습들을 찾을 수 있습니다. 어떤 사람은 스트레스를 받으면 입맛이 없어지거나 폭식을 하기도 하고, 할 일을 회피하거나 오히려 문제를 해결하려 더 골몰하여 자신을 몰아붙이기도 합니다. 사람들을 만나는 게 피곤해지고, 일에 집중이 안 되거나 불면증 혹은 과수면이 나타나기도 하고요. 윤이 님은 어떤 신호가 있으신가요?_x000D_
혼자 알아보기 힘들다면 가까운 사람들에게 ‘난 스트레스 받으면 '어떻게 티나?’라고 물어보는 것도 좋은 방법입니다. 지인들도 잘 모른다고 할 때는 윤이 님이 감정인식이나 표현을 잘하지 않는 성격일 수도 있습니다. 그럴 땐 간단한 심리검사를 정기적으로 체크해보며 내 기분 상태에 어떤 변화가 있는지 추적 관찰해보는 것도 좋습니다._x000D_
우울을 포함한 대부분의 심리적 문제들은 사회 직업 개인적 영역에서의 문제나 손상이 발생할 정도일 시, 전문적 치료가 필요하다고 판단합니다. 하나씩 마음을 살피다 보면 자신의 신호와 대처법을 찾으실 수 있을 겁니다!!_x000D_
*추천 도서[멘탈싸인:내 마음이 보내는 50가지 이상 신호(James Whitney Hicks)]"
24,스스로 남들과 비교하고 주변의 칭찬과 긍정적 평가에도 제가 더 못났다고 생각합니다. 스스로에게 관대하지 않다 보니 무기력해지고.. 어떻게 하면 저를 사랑할 수 있을까요?,"마음이 복잡하고 스스로 만족스럽지 못할 때 우리는 다른 사람과 비교하게 되고 다른 사람의 칭찬의 말도 곧게 듣지 못하고 다르게 해석하게 됩니다._x000D_
마음을 편안하게 하고 스스로 아껴주고 사랑하는 방법은 바로 있는 그대로의 자신을 받아들이는 것입니다. 무엇을 잘해야, 여러 조건이 충족되어 완벽해야지만 괜찮은 사람이 아님을 마음에 새기고, 그냥 자신을 수용하는 것입니다._x000D_
성적이 안 좋을 수도 있고, 남들보다 일하는 속도가 2배 느릴 수 있고, 할 말을 다 해 주변 사람들과 갈등이 많을 수도 있습니다. 외모가 특출나지 않을 수도 있고, 금전적으로 풍족하지 않을 수도 있습니다._x000D_
그러나 그런 자신을 좋다 싫다 평가 없이 받아들이고, 대접받고 싶은 만큼 자신을 잘 대하다 보면 절로 마음이 편해지고 다른 사람을 덜 신경 쓰게 됩니다. 잠시 기분이 나쁘더라도 금방 털어내고 사건 자제에 대해서 기분이 나쁘더라도 자신에게까지 뻗치지 않게 될 것입니다. 자신을 수용하는 데 도움이 될 만한 책을 추천해 드립니다._x000D_
*추천 도서[현대인과 정신건강(이동식)]_x000D_
*추천 도서[받아드림(Tara Brach)]_x000D_
*추천 도서[자존감(이무석)]"
25,우울증이 있는데 극복이 쉽지 않아요. 가끔씩 정말 다 포기하고 싶기도 하지만 그냥저냥 생활을 유지하고 있습니다. 자책하는 상황도 힘들고..,"우선 모든 걸 포기한 죽음에 대해 생각하거나 충동이 있는 상태라면 현재 자신이 지각하는 정도보다 더 도움이 필요한 상황이라 판단됩니다. 빠른 시일 내에 헬스케어센터를 찾으셔서 전문적 평가와 면담을 받아보시길 권해드립니다._x000D_
우울증은 도파민, 세라토닌, 노르에피네프린 같은 신경전달물질의 감소로 인해 주로 발병합니다. 그렇기 때문에 시간이 약이다, 의지로 이겨내야 한다는 생각은 적절한 치료를 방해하고 우울증을 지속시키게 됩니다._x000D_
끝으로 자책에 대해서 조심스레 한 말씀 드리자면, 자신을 책망하는 방법은 타인과는 갈등을 일으키지 않는 어쩌면 쉽고 간편한 방법일 수 있고, 현재를 버티고자 선택한 방법일지도 모릅니다. 지금까지 버텨오신 것만도 고생 많으셨습니다. 하지만 그 아픔을 감당하고 있는 윤이 님 자신을 이제 따뜻하게 안아줘도 되지 않을까요?_x000D_
나도 모르는 내 마음을 어떻게 다 설명할 수 있을까요? 힘든 만큼 스스로 다스리기 쉽지 않을 것입니다. 그렇기에 정확한 도움을 제공하는 기관들을 이용하시기를 간곡히 말씀드립니다._x000D_
*UNIST 헬스케어센터 상담 신청->click"
26,주변 상황을 컨트롤할 수 없거나 해결방법을 찾지 못한다 느끼면 우울감이 올라옵니다. 지금 당장 할 수 있는 일은 도움도 안 될 테니 해서 뭐하나 싶어 전부 포기하고 싶어집니다. 어떻게 대처할 수 있나요?,"살아가면서 자신 말고는 컨트롤할 수 있는 게 많지 않죠. 그러나 우리는 상황을 컨트롤하려고 노력하다 보니 얼마나 힘이 드는지 모릅니다._x000D_
우선 살펴봐야 할 것은 컨트롤할 수 없거나 해결방법을 찾지 못할 때 어떠한 감정이 드는가? 하는 것입니다. ‘어찌할 바를 몰라 난처한가요?', ‘도와주는 사람 없이 홀로 헤맬까 불안한가요?' 꼭 예시와 같지 않아도 걱정, 불안, 우울 등의 단어 속에 숨어있는 내 마음을 들여다봐야 합니다. 마음을 설명할 말을 잦게 되면 “아, 이건 내가 안달하지 않아도 다른 방법을 찾을 수 있다는 스스로에 대한 확신과 믿음을 가지거나 때로는 내가 어찌할 수 없는 일도 있구나.” 하고 마음을 편히 먹고 심신을 다잡을 수 있습니다. 혹은 지금 당장 할 수 있는 일이 별로 도움이 되지 않을 거라 생각하지만, 막상 하고 나니 엉뚱하게도 도움이 되더라 하는 경험도 하게 됩니다._x000D_
자신의 삶에 펼쳐지는 일들에 대해 컨트롤하고 발생한 문제에 대한 해결방법을 아는 사람이 과연 있을까요? 한 명도 없을 것입니다. 슬프게도 우리는 불확실에 대한 불안을 가지고 살아가야 합니다. 그래서 지금 여기서 할 수 있는 일을 찾아 행동하는 것이 중요합니다. 영 쓸모없어 보여도 지나고 나면 가장 훌륭한 해결방법일 때가 많습니다._x000D_
*추천 도서[30년 만의 휴식, 마음(이무석)]"
27,깊은 우울함에 빠진 친구에게 동화되는 것 같아요. 우울증이 있는 상대방의 행동이나 말을 어떻게 대처하고 받아들일지 고민입니다.,"친구 관계에서 정서를 나누는 일은 빈번하고 분리가 어려운 영역입니다. 힘들어하는 친구를 도우며 자신도 여러 감정을 경험하게 되는데 짧은 기간 자신이 감당할 수 있는 수준의 감정 접촉은 일상생활에서 자연스레 해소되는 경우가 많습니다. 그러나 보호 요인 없이 긴 시간 상대와 감정을 접촉하게 되면 자신 또한 감정의 회복까지 시간이 걸리게 되겠죠._x000D_
1. 우울감이 지속하면 부정적 감정과 사고가 반복하여 일어나며 자기비하적 사고, 무망감, 무력감 등을 호소하게 됩니다. 따라서 우울한 사람이 가지는 생각의 고리에 의한 표현들 하나하나에 의미를 담아 받아들이기보다 증상으로서 이해해야 합니다._x000D_
2. 적절한 거리를 유지하여 자신을 보호해야 합니다. 상대방이 부정적 감정을 표현할 때 돕고 싶은 마음을 충분히 표현하되 그런 말과 행동이 자신에게 어떻게 받아들여지고 있는지를 충분히 알려주시는 것도 좋습니다._x000D_
3. 상대의 상황과 감정을 이해하고 수용하여 건강한 공감 반응을 합니다._x000D_
""친구야, 네가 힘들어하는 모습이 신경 쓰이고 마음도 아프다. 도움도 주고 싶은데 어떻게 도울지도 모르겠고, 무작정 들어주기만 하는 것도 너에게 적절한 도움을 못 주고 있다는 생각에 나도 좀 무기력하다는 걸 느껴. 나에게도 어느 정도 회복할 수 있는 시간과 공간이 필요한 것 같아."""
28,"가족이 힘든 일을 겪을 때 계속 하소연을 들어주며 강한 척 위로하지만, 제 속마음은 너무 아픕니다. 외면할 수는 없으나 감정 쓰레기통이 되고 싶지는 않아요. 건강한 관계를 만들 수 있는 방법이 있나요?","가족, 참 가깝고도 어려운 관계입니다. 오랜 기간 함께 지내며 암묵적인 규칙도 있는지라 변화를 시도하기가 쉽지 않습니다. 그러나 해결되지 않은 부정적 감정은 켜켜이 쌓여있다. 나중에 더 나쁜 모습으로 등장하게 됩니다. 더 힘들어지기 전에 윤이 님의 최소 방어 한계선을 만들어봅시다._x000D_
힘든 감정은 다른 사람에게 전가하거나 일방적으로 받아주는 것이 아니라 함께 손을 잡고 해소하는 것이 좋습니다. 서로 간에 적당한 간격을 유지하며 감정을 소통하는 것이 가장 건강한 방법이겠지요. 즉, 내어줄 수 있는 마음의 여유가 어느 정도인지 스스로 아는 것도 중요하고, 상대방에게 그것을 알려주는 것도 필요합니다._x000D_
""엄마, 오늘은 제가 조모임이랑 프로젝트가 있어서 통화하는 게 좀 어려울 것 같아요. 바빠서 마음에 여유가 좀 없네요.""_x000D_
이런 방식이 익숙하지 않기 때문에 죄책감이 들고, 상대방도 불만을 표현 할 수 있지만, 눈앞의 불편함을 피하려다 언젠가 더 큰 문제가 생길 수 있음을 기억하세요. 가족 문제는 워낙 다양하고 복합적이지만 아주 시급한 문제가 아니라면 우선 자신을 보호하고, 할 수 있는 만큼의 도움을 주세요. 그래야 윤이 님도 침몰하지 않고 오랫동안 가족과 함께 할 수 있습니다._x000D_
*추천 도서[내 문제가 아닌데 내가 죽겠습니다(Eudes Semeria)]_x000D_
*추천 도서[딸은 엄마의 감정 쓰레기통이 아니다(Rika Kayama)]_x000D_
*추천 도서[관계에도 연습이 필요합니다(박상미)]"
29,휴학 중인 학생입니다. 스스로가 한심하고 초라하게 느껴져 무기력해요. 새로운 시도는 버겁고 무섭습니다. 저 하나 보고 계신 가족들 핑계 삼아 살아갑니다.,"안녕하세요 윤이 님 글을 한참 읽고 윤이 님께는 짧은 편지를 쓰고 싶어졌습니다. 이 글이 어떻게 전달될지 모르겠지만 작은 힘이 되었으면 좋겠습니다._x000D_
새로운 시도와 변화가 두려우셨을 텐데 용기 내 이렇게 글을 보내주셔서 감사합니다. 지금의 두려움을 넘어 변화되길 원하는 마음이 느껴졌고 혼자 끙끙댔을 시간이 얼마나 힘들고 울고 싶었을까 짐작해봅니다._x000D_
어떤 변화를 마주해야 하는지 모르겠지만 감정을 숨기는 데에는 분명 한계가 있습니다. 마음대로 되지 않는 현실에 대한 아쉬움, 실망감, 자신에 대한 초라함, 부끄러움, 가족들에 대한 미안함, 부담감 등등 이러한 감정을 조금씩 나눌 수 있으면 어떨까 말씀드려 봅니다. 지금 윤이 님이 내놓을 수 있는 감정을 분류해보시기 바랍니다. 그리고 터놓을 수 있는 대상에게 자신의 상황을 알려보세요. 감정을 나누는 것은 결코 나약해지거나 상대방에게 부담을 주려는 것이 아닙니다._x000D_
“나 요즘 힘들어. 일도 잘 안 풀리고 자신감은 바닥이고.. 이런 내가 초라한데 바라보고 있는 가족들 생각하면 미안하고 부담도 되고 어디서부터 어떻게 풀어나가야 할지 하나도 모르겠어.” 라고요._x000D_
마지막으로 윤이 님의 솔직한 마음을 들은 가족들은 이해하고 수용하실 것입니다. 윤이 님이 가족들을 생각하며 버텨온 것만큼 가족들에게도 윤이 님이 소중한 존재입니다. 혼자 짊어지지 않아도 됩니다._x000D_
조금 늦더라도, 조금 어렵더라도 자신의 시간대로 가면 우리는 결국 모두 같은 선에서 마지막 일몰을 보게 됩니다. 좀 천천히 가도 되잖아요!?"
30,영원히 우울증이 없는 일상을 보낼 수 있을까요? 아니면 직면해서 극복해야 할 인생의 한 부분이라고 생각해야 하나요?,"우울을 Depressive disorder가 아닌 Depressive emotion으로 생각한다면 불가능하리라 생각합니다. Depression과 비슷한 Anxiety로 바꿔 생각해보면 anxiety-free daily life가 가능할까요? 불안이 없다면 아이는 엄마가 경고해도 위험한 행동을 하다 크게 다치거나 죽게 될 수 있습니다. 불안감이 없다면 우리는 행동의 전략을 수정하는 데 문제가 생길 수 있습니다._x000D_
좌절을 겪은 후 우울한 것은 정상적인 반응입니다. 부모님이나 배우자의 사망과 같은 안타까운 일에 우울하지 않을 수는 없습니다. 원하던 목표에 도달하지 못하거나 사람들로부터 좋지 않은 시선을 받는다. 느끼는 것 모두 우리를 슬프고 무기력하게 만듭니다._x000D_
어쩌면 우리는 우울을 안 느끼는 삶을 살아야 하는 것이 아니라 힘들면 우울감을 느낄 수 있음을 받아들이고 대신 우울감이 내 삶의 다른 부분을 망가뜨리는 것을 막으며 살아가는 것 아닐까요? 실패로 무기력하고 슬프지만, 다시 도전하고 다른 대안을 찾아보려 노력하는 것처럼 말이죠 ._x000D_
우울함이 우리를 덮쳐올 때 뇌에서 즉시 명령을 내려봅시다._x000D_
""지금 이 상황이 좀 암울하긴 해. 그렇지만 우울하다고 해서 그게 내 삶의 전부인 건 아니야. 도 도전하거나 안되면 까짓거 던져버리지 뭐!!"""
31,"우울증에 걸렸었던 것 같은데, 우울증에서 완전히 빠져나왔다는 것을 어떻게 알 수 있을까요?","12번 질문의 답과 같이 ‘전혀’ 우울감을 느끼지 않는 것은 불가능합니다. 우울한 느낌 정도가 아닌 우울증이었다면 재발에 주의해야 합니다. 아마 이 부분이 궁금했던 질문이 아닐까 싶습니다. 한 번 우울증을 경험했던 사람은 60%가, 두 번 경험했으면 70%가 세 번이면 90%가 재발한다고 합니다. 그만큼 초기에 잘 치료받는 것이 아주 중요합니다._x000D_
예전에는 기분이 괜찮아졌으면 다 나은 것으로 판단하고 치료를 중단하는 경우가 많았다고 합니다. 그래서 위와 같은 높은 재발률이 나온 것이 아닐까 싶습니다. 요즘은 기분뿐 아니라 직장, 사회생활, 가족관계 등에서 모든 환경이 이전과 같은 수준으로 회복되는 것을 확인하고 치료를 중단하게 권유하며 이럴 경우 재발률이 확연히 낮아진다는 결과들이 보고되고 있습니다._x000D_
이전의 기능으로 돌아오는 정도를 넘어 자신의 기분을 관리하는 방법, 어려운 일에 압도되지 않는 방법, 주변으로부터 도움을 잘 받는 방법 등을 배운다면 한층 더 성장할 수 있지 않을까요? 그러면 우울한 느낌을 느끼더라도 우울증을 경험하는 것을 예방할 수 있을 것입니다. 혹시 우울증을 경험하더라도 조기에 찾아내 치료를 받을 수도 있을 것이고요._x000D_
우울증에서 완전히 빠져나왔음은 일상의 기능 수준을 통해 확인하시되 앞으로는 우울감을 어떻게 다스릴지 탐색해보시길 추천해 드립니다."
32,덜 우울해지기 위해 주말에도 몸을 많이 움직이려 노력하는데 그러면 밤에 너무 피곤하긴 해요. 편하게 마음을 쉬게 할 방법 추천해주세요.,"우울해지지 않기 위해 몸을 많이 움직인다는 것은 우울하게 만드는 생각을 적게 하기 위한 방법이라고 생각이 되네요. 그렇다 간주하고 답변드릴게요. 생각은 꼬리에 꼬리를 물고 늘어집니다. 현재 걱정하고 계시는 것이 있다면 한 발짝 떨어져 다시 한번 들여다보도록 합시다._x000D_
비교적 단기간 해결할 수 있는 문제라면 자리를 털고 일어나 하나씩 행동해야 합니다. 앉아서 고민한다고 내일 뚝딱 해결되지 않기 때문입니다._x000D_
단기간 해결할 수 없는 문제라면 차례대로 문제의 해결법을 나열하고 단계별로 처리해가는 계획을 수립해 실천해야 합니다. 가장 주의할 것은 기간도 오래 걸리고 윤이 님의 의지나 능력으로 도무지 해결되지 않을 문제일 때입니다. 어쩔 수 없어서 환장하게 만드는 것들이죠. 이때 우리에게 외칠 수 있는 유명한 말이 있습니다._x000D_
""그까짓(?)게 무슨 의미가 있냐!!!!""_x000D_
불확실한 미래로 인해 끙끙 앓으며 고민하는 것보다 미래는 미래의 일로 기꺼이 두고, 지금 당장 여기에서 할 수 있는 것에 집중하고 느끼는 것이 훨씬 더 도움이 됩니다._x000D_
그렇다면 마음을 편히 쉬게 하는 방법은 무엇이 있을까요?_x000D_
1. 윤이 님처럼 몸을 움직이는 방법을 추천해 드립니다. 사람마다 조금씩 기준이 다르겠지만 적절한 운동과 활동적인 취미는 신체와 정신의 건강을 모두 챙기는 방법입니다._x000D_
2. 좋은 사람들을 만나 즐거운 시간을 보내는 방법을 추천해 드립니다. 재미있는 이야기로 시간을 채울 수 있는 사람, 내 마음을 터놓을 수 있는 사람, 지지와 응원을 해주는 사람, 같이 화를 내줄 수 있는 사람 등 여러 관계성이 존재할 텐데 윤이 님의 필요에 맞게 활용하시면 좋겠습니다._x000D_
3. 요즘의 나에게 필요한 것 채워주기 방법을 추천해 드립니다. 실제로 저도 스트레스나 채워지지 않는 욕구들을 재우기 위해 활용하고 있는데요. 집콕 기간이 길어지면서 집에서 할 수 있는 힐링템들을 하나씩 늘리는 것입니다. 길게 유지하지 않아도 됩니다. 실천했다는 것만으로도 의미 있는 일이니까요. ex) 홈팜 가꾸기, 미니 레고 조립하기, 스도쿠 풀기 등_x000D_
이와 다른 방법들이 있지만 가장 중요한 것은 작은 즐거움, 옅은 힐링의 느낌을 캐치하고 음미하는 것입니다. 작은 즐거움이 쌓이면 큰 즐거움이 되고 만족감이 차오르게 될 것입니다."
33,완벽주의나 강박증은 약 복용으로 완치가 되나요? 다른 치료 방법도 있나요?,"강박증의 경우 세로토닌 계열의 항우울제가 증상 완화에 도움이 되는 것으로 알려져 있습니다. 독특한 점은 우울증보다 고용량에서 반응이 더 좋은 경우가 있다는 것입니다. 또한 강박증으로 힘들다 보니 이차적으로 우울증도 생기는 경우가 있는데 항우울제 용량만 보고 ‘내가 많이 우울해 보여서 고용량을 처방받았나?’라고 생각하지 않으셨으면 합니다._x000D_
강박증은 약물치료 단독보다는 행동과 인지에 변화가 함께 생겨야 치료 효과가 좋은 것으로 알려져 있습니다._x000D_
완벽주의라고 불리는 것은 정신질환 진단명은 아니며 강박성 성격 장애에서 자주 나타나는 현상입니다. 강박성 성격장애가 있을 때 스트레스 상황을 만나면 강박증이 발병하기 쉽습니다._x000D_
완벽주의라는 말은 일을 완벽하게 해내려고 최선을 다하는 긍정적인 모습을 표현하기 위해 사용되지 않고 작은 부분에서 완벽하지 못하단 느낌이 들면 일을 진행하는 데 어려움을 겪는 역기능적인 모습을 표현하기 위해 쓰입니다. 예를 들어 에세이를 잘 쓰려면 초고를 일단 완성하고 퇴고를 여러 번 하는 것이 좋다는 것은 머리로 알지만, 첫 문장조차 완성하지 못하는 경우가 있습니다. 이런 성격적 부분이 강하다면 관련 상담이나 인지행동치료가 동반되어야 하며 보조적으로 약물치료도 도움이 됩니다."
34,요즘은 취향이나 성향을 많이 존중하는 시대라서 강박이나 중독의 수준이라고 알아차리기 어려워요. 실생활에서 접할 수 있는 구체적 예시가 궁금해요.,"강박사고와 행동은 강박 장애가 있을 때만 가지는 현상이 아닙니다. 우울감을 우울증 환자들만 느끼는 것이 아닌 것처럼요. 많은 경우 스트레스가 원인이며 동물들도 스트레스 상황에서 강박 장애 환자와 유사한 모습들을 보입니다._x000D_
가장 흔한 증상으로는 오염되었다는 생각과 씻는 행동, 문이나 가스 밸브를 잠그지 않았으면 어쩌나 걱정하는 생각과 반복적으로 확인하는 행동, 물건이 대칭을 이루지 않으면 불안해져 계속 정돈하는 행동이 있습니다._x000D_
이런 생각과 행동을 하는 것 자체가 문제인 것은 아닙니다. 감염의 위험에서 자신을 보호할 수 있고 꼼꼼히 챙겨 실수를 줄이고 피해를 줄일 수 있습니다._x000D_
그러나 자신이 생각하기에도 이 생각과 행동에 너무 많은 시간과 에너지를 소모해 힘이 들고 그만두고 싶을 때도 줄일 수 없다면 문제가 됩니다 ._x000D_
오염이나 확인 같은 경우도 씻다 피부가 벗겨져 감염을 막아줄 피부 장벽을 잃어버리는 사람도 있고 문이나 밸브를 확인하다 약속을 지키지 못해 우울증에 걸리는 사람도 있습니다._x000D_
내려가는 계단 앞에서 걸리적거리는 사람을 ‘밀어버리고 싶다’는 생각이 문득 스칠 수는 있으나 반복적으로 생각이 들어 다른 일에 지장을 준다면 삶이 힘들어집니다. 심한 경우 자신이 진짜 밀친 건 아닐까 걱정하며 CCTV를 확인하는 사람도 있으니 말이죠._x000D_
모든 일이 그렇듯 조기에 치료하는 것이 만성화된 경우보다 쉬우므로 만약 생활에 불편함이 생겼다면 빠르게 치료를 알아보시기 바랍니다._x000D_
""상담사: 저는 어렸을 때부터 손을 반복해서 씻는 강박적 행동이 있었어요. 그래서 눈병이 유행할 때도 걸려본 적이 없었어요. 그런데 자주 씻으니 피부가 갈라지고 약해져 수포가 생기는 등 어려움이 생겼어요._x000D_
제가 손을 씻는 이유는 손에 먼지나 나쁜 균들이 묻는 것 같았기 때문이었는데 오히려 피부가 아프게 되니 다른 사물을 덜 만지는 방향으로 불안 해소의 방향을 바꿨어요. 그리고 스스로 잘 관리하고 있다는 자신이 생기니 강박적인 사고가 줄어들었어요"""
35,"제가 걱정하는 부분에 대해 타인에게 재차 확인하는 질문을 합니다. 그러면 좀 안심될까 해서요. “이거 괜찮겠지? 그 일 했어? 확인도 했지?” 등.. 혹여나 자녀가 배우진 않을지 걱정도 됩니다. 참고 삼키는 게 나을지, 정신건강에 어떨지 걱정돼요. ","질문을 읽으며 윤이 님께서는 자신을 되돌아보고 알아차리는 힘이 있다고 생각하였습니다. 무엇을 확인하고 싶고 어떤 말을 듣고 싶어 질문하는지에 대해 먼저 알아차리셨네요. 그래서 윤이 님께 작은 과제를 하나 드려볼까 합니다._x000D_
1. 윤이 님이 걱정하는 걸 상대에게 확인하는 이유는 무엇인가요?_x000D_
""스스로에 대한 확신이 없어서? 불안한 마음에 의존하고 싶어서? 잘하고 있다는 안정이 필요해서? 윤이 님의 이유는 무엇인가요?""_x000D_
2. 이유를 찾았다면 걱정도 하고 신경도 썼지만, 윤이 님이 노력해서 잘 해결되었던 상황을 떠올려 보세요._x000D_
3. 윤이님 자신을 잘 다독여 보세요. 도움을 받을 수 있는 사람이 있다면 떠올려봐도 좋습니다._x000D_
""잘하지 못해 남들 앞에서 부끄러웠던 기억이 있어서 이렇게 매번 불안했구나. 괜찮아. 이전에도 이렇게 걱정했지만, 자료도 기한 내 제출했고, 육아도 큰 문제 없이 해나가고 있잖아.""_x000D_
과제를 모두 마치셨으면 다음 스텝을 밟아봅시다_x000D_
거듭 확인하고 질문하는 것이 자녀에게 나쁜 영향이 가지 않을까 염려되고 윤이 님 정신건강에도 도움이 되는지 궁금하신 것 같아요._x000D_
그런 마음을 표현하시면 됩니다._x000D_
""엄마(혹은 아빠)는 oo이가 준비물을 두고 가서 나중에 당황스러울까 봐 걱정돼서 확인하려고 물어보는 거야. oo이 준비물 잘 챙겼니?""_x000D_
""아빠(혹은 엄마)가 평소에 질문도 많고 확인도 많이 하지? 혹시 그런 게 불편하지는 않아? oo이는 그럴 때 어때?""_x000D_
이유를 듣고 자녀의 입장에서 고민해보세요. 무조건 수용하기보다 천천히 서로의 입장을 이해하는 과정을 만들어가는 것이 중요합니다._x000D_
만약 다른 사람이 챙겨주고 알아봐 줬으면 좋겠다는 의존심에 질문한다면 궁극적으로 이 방법을 지속하는 게 좋지 않을 수 있습니다. 과제를 하시며 윤이 님 내면을 들여다보고 감정을 표현하다 보면 자연스럽게 조절하실 수 있을 것입니다."
36,"워킹맘으로서 일도, 육아도 잘하고 싶은데 버겁습니다. 아기 걱정에 잠도 자지 않고, 몸을 혹사시키며 이유식을 만들고, 일을 시작한 뒤로는 자책하며 퇴근길에 눈물도 나더라구요. 아기가 저를 보고 웃어주면 힘이 나지만.. 지금 제게 필요한 게 무엇일까요? 힘이 듭니다.","‘워킹맘’이라는 단어는 일과 육아 두 마리 토끼를 잡는 완벽한 슈퍼우먼을 떠오르게 하는 이상한 힘이 있습니다. 사실은 하루하루 최선을 다해 나에게 주어진 소중한 것들을 지키려 노력하는 평범한 사람 중 하나일 뿐인데 말이죠._x000D_
윤이 님이 육아만 할 때도 완벽주의가 있었다면 원래 가지고 있던 완벽주의 성향이 직장과 육아를 병행하며 더 심해졌을 가능성이 있습니다. 자신을 혹사시키며 했던 것들은 누구를 위한 것이었을까요? 아이를 위해 혹은 엄마는 그래야 한다는 것 사실은 완벽 하고자 하는 나의 마음 때문입니다._x000D_
완벽함을 추구하는 것은 슬프게도 자신이 완벽하지 않음을 계속해 확인하는 과정이 될 수밖에 없습니다. 윤이 님을 괴롭히는 완벽주의를 견고하게 만드는 이유가 무엇일지 먼저 찾아보세요._x000D_
-과도한 책임감 혹은 죄책감_x000D_
-부족하면 비난받을 것이라는 불안감_x000D_
-완벽해야 한다는 압박감 등등_x000D_
근본적 원인을 먼저 파악하고 해결하는 것이 가장 좋습니다. 그러나 당장 너무 힘들다면 다음의 방법들을 참고해보세요._x000D_
1. 나라는 사람의 가치를 일이나 육아에서 오는 성취와 연결 짓지 마세요._x000D_
조금 부족하더라도 윤이 님은 충분히 괜찮은 사람입니다._x000D_
2. 무엇을 더 해야 하는지보다 ""무엇을 했는지”를 생각하세요._x000D_
100점 만점에서 윤이 님이 못한 만큼 마이너스시키는 게 아니라, 0점에서부터 윤이 님이 한 일들에 플러스 점수를 부여해보세요._x000D_
3. 윤이 님의 소중한 자녀가 훗날 비슷한 상황에서 힘들어하고 있을 때 어떤 이야기를 해주고 싶은지 떠올려보시고 본인에게 따뜻하게 들려주세요_x000D_
4. '혼자‘ 고군분투하지 말고 배우자, 가족, 동료들과 ‘함께’ 생각하고 같은 입장에서 경험하는 어려움을 공감하고 위로한다면 자책과 우울감을 덜어낼 수 있습니다._x000D_
5. 본인을 최우선으로 두고 시간과 에너지를 활용하세요. 아이에게 가장 좋은 환경은 맛있는 밥을 먹여주는 부모보다 어떤 밥이라도 행복한 표정으로 먹여주는 부모일 것입니다. 자신을 먼저 돌봐주세요._x000D_
*추천 도서[엄마로만 살지 않겠습니다(김아연)]_x000D_
*추천 도서[나는 워킹맘입니다(김아연)]"
